Sales_ID,Name,Year,Selling_price,km_driven,Region,State or Province,City,Fuel,Seller_type,Transmission,Owner,Mileage,Engine,Max_power,Torque,Seats,Sold
5538,Honda City 2017-2020 GXi,2006,200000,178500,Central,Michigan,Muskegon,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,N
3012,Maruti Alto LX,2011,175000,175000,South,North Carolina,Wilson,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
5546,Maruti Eeco 5 Seater AC BSIV,2010,150000,170000,Central,Kansas,Overland Park,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,N
3921,Maruti Zen LX,2003,58000,170000,West,California,Long Beach,Petrol,Individual,Manual,Third Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,N
6308,Maruti Wagon R LXI,2006,90000,168000,Central,Iowa,Cedar Rapids,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
2610,Maruti Wagon R LXI,2003,55000,167000,Central,Michigan,Trenton,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
7698,Maruti Alto LX,2003,100000,164000,South,Florida,Pembroke Pines,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
3709,Maruti Eeco 5 Seater AC BSIV,2010,160000,162000,West,California,Laguna Niguel,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,N
340,Maruti A-Star Vxi,2010,130000,162000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5,Y
1266,Honda City 1.5 EXI,2002,81000,161000,West,Oregon,Troutdale,Petrol,Individual,Manual,Fourth & Above Owner,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5,Y
4620,Maruti Swift Dzire 1.2 Lxi BSIV,2009,190000,160000,South,Florida,Fort Myers,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
3798,Maruti Zen Estilo LXI BSIII,2007,85000,160000,West,California,El Centro,Petrol,Individual,Manual,Fourth & Above Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
2561,Maruti SX4 ZXI MT BSIV Leather,2010,285000,155000,Central,Michigan,Southgate,Petrol,Individual,Manual,Second Owner,15.5 kmpl,1586 CC,103.3 bhp,145Nm@ 4100rpm,5,N
3898,Maruti Wagon R LXI Minor,2010,150000,155000,East,Pennsylvania,Hazleton,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
600,Maruti Swift VXI BSIV,2015,500000,150546,East,New York,New York City,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,Y
1494,Hyundai i20 Sportz AT 1.4,2013,330000,150000,Central,Iowa,Urbandale,Petrol,Individual,Automatic,Second Owner,15.0 kmpl,1396 CC,98.6 bhp,136.3Nm@ 4200rpm,5,Y
2751,Maruti Swift VXI,2013,325000,150000,Central,Minnesota,Owatonna,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
857,Tata Indigo GLX,2011,150000,150000,Central,Illinois,Chicago,Petrol,Individual,Manual,First Owner,12.8 kmpl,1396 CC,85 bhp,"12@ 3,500(kgm@ rpm)",5,Y
1317,Maruti Wagon R LXI,2005,150000,150000,West,California,Los Gatos,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
5026,Maruti Wagon R LXI,2006,140000,150000,Central,Michigan,Eastpointe,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
696,Maruti Wagon R LXI Minor,2009,135000,150000,West,Washington,Seattle,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Y
6772,Maruti Zen Estilo 1.1 LX BSIII,2007,120000,150000,Central,Missouri,Creve Coeur,Petrol,Individual,Manual,Second Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5,N
760,Maruti Alto LX,2005,85000,150000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,Y
2508,Maruti Alto LXi,2006,85000,150000,Central,Minnesota,Prior Lake,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
5417,Maruti Alto STD,2010,85000,150000,West,Washington,Lynnwood,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
5760,Maruti Wagon R LXI,2006,80000,150000,East,Pennsylvania,McKeesport,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
5023,Maruti Zen LXI,2004,70000,150000,Central,Michigan,Eastpointe,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,N
5013,Hyundai i20 Sportz Option 1.2,2014,400000,147000,West,California,Twentynine Palms,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,N
2056,Maruti Wagon R LXI,2003,50000,147000,Central,Illinois,Kankakee,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
1656,Honda Accord 2.4 M/T,2012,600000,144030,West,Washington,Marysville,Petrol,Individual,Manual,First Owner,12.8 kmpl,2354 CC,177.6 bhp,222Nm@ 4300rpm,5,Y
982,Maruti Swift Dzire VXi,2010,240000,143000,South,Georgia,Atlanta,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5,Y
6050,Maruti Alto LXi,2009,125000,141000,South,Tennessee,Spring Hill,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,N
943,Maruti Zen LXI,2006,120000,141000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,Y
7062,Honda BRV i-VTEC V MT,2016,725000,140000,Central,Texas,Channelview,Petrol,Individual,Manual,First Owner,15.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,N
1760,Maruti Ertiga VXI,2013,450000,140000,Central,Indiana,Bloomington,Petrol,Individual,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,Y
233,Maruti Wagon R LXI Optional,2016,350000,140000,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,Y
7894,Volkswagen Vento Petrol Highline AT,2011,250000,140000,South,Mississippi,Horn Lake,Petrol,Individual,Automatic,Second Owner,14.4 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,N
5002,Honda City 2017-2020 GXi,2007,210000,140000,West,California,Twentynine Palms,Petrol,Individual,Manual,First Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,N
2161,Datsun GO Plus T,2017,200000,140000,East,Maryland,Laurel,Petrol,Individual,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,7,N
3,Honda City 2017-2020 EXi,2006,158000,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,Y
7815,Honda City 2017-2020 EXi,2006,150000,140000,West,Colorado,Fountain,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,N
1974,Maruti Wagon R LXI,2005,130000,140000,East,New York,Ossining,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
4361,Maruti Wagon R LXI,2005,130000,140000,Central,Texas,El Paso,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
6819,Maruti A-Star Vxi,2009,120000,140000,West,Oregon,West Linn,Petrol,Individual,Manual,Third Owner,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5,N
5602,Hyundai Accent GLS 1.6 ABS,2006,110000,140000,South,Tennessee,Clarksville,Petrol,Individual,Manual,Second Owner,14.4 kmpl,1599 CC,94 bhp,12.5kgm@ 3500rpm,5,N
5133,Maruti Wagon R VXI BS IV,2011,246000,139000,Central,Kansas,Pittsburg,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,N
2244,Hyundai i20 1.2 Asta,2011,300000,138000,Central,Michigan,Garden City,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,N
4034,Daewoo Matiz SD,2001,45000,137000,South,Florida,North Miami Beach,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5,N
6955,Maruti Swift Lxi BSIII,2007,220000,136000,West,Washington,Tacoma,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,N
8070,Maruti Swift Dzire Tour S CNG,2017,500000,130000,Central,Michigan,Walker,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
5008,Honda City 1.3 EXI,2005,55000,130000,West,California,Twentynine Palms,Petrol,Individual,Manual,First Owner,13.0 kmpl,1343 CC,90 bhp,11.3kgm@ 4700rpm,5,N
3813,Hyundai Grand i10 Sportz,2015,400000,128000,West,Arizona,Phoenix,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,N
2281,Chevrolet Beat LT,2012,141000,128000,West,California,Citrus Heights,Petrol,Individual,Manual,Third Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5,N
1650,Hyundai Santro Xing GL,2008,105000,128000,East,New York,North Babylon,Petrol,Individual,Manual,First Owner,0.0 kmpl,1086 CC,62 bhp,96.1Nm@ 3000rpm,5,Y
7744,Maruti SX4 Vxi BSIII,2009,250000,125876,West,Arizona,Prescott Valley,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5,N
6303,Honda Civic 1.8 V MT,2009,220000,125000,West,Colorado,Englewood,Petrol,Individual,Manual,Second Owner,13.5 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5,N
6450,Hyundai i10 Magna,2010,150000,123278,Central,Texas,Austin,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,N
5068,Maruti Swift VXI,2012,328000,123000,West,Idaho,Eagle,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
494,Maruti Swift Dzire VXi,2008,160000,123000,West,Washington,Seattle,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5,Y
2923,Hyundai Xcent 1.2 Kappa S,2014,355000,121000,Central,Illinois,Calumet City,Petrol,Dealer,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,N
6324,Maruti Zen VXI,2003,200000,121000,East,New Jersey,North Bergen,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,N
193,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,West,Washington,Seattle,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,Y
316,Honda City i VTEC VX,2014,725000,120000,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,Y
5971,Maruti Swift Dzire AMT VXI,2017,635000,120000,South,Alabama,Mobile,Petrol,Individual,Automatic,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,N
1250,Honda BR-V i-VTEC E MT,2017,595000,120000,East,New York,Valley Stream,Petrol,Individual,Manual,First Owner,15.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,Y
3429,Tata Zest Revotron 1.2 XT,2017,550000,120000,East,Connecticut,Naugatuck,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,N
6394,Honda City V MT,2012,550000,120000,South,Tennessee,Kingsport,Petrol,Individual,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,N
3367,Hyundai i20 Active 1.2 SX with AVN,2016,530000,120000,Central,Texas,Richardson,Petrol,Individual,Manual,Second Owner,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,N
4600,Honda City i VTEC V,2015,525000,120000,West,Montana,Billings,Petrol,Individual,Manual,Second Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,N
5500,Hyundai i20 Asta 1.2,2015,515000,120000,West,Washington,Spokane,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,N
392,Honda CR-V 2.4L 4WD AT,2009,500000,120000,West,Washington,Seattle,Petrol,Individual,Automatic,Second Owner,11.1 kmpl,2354 CC,158.8 bhp,218Nm@ 4200rpm,5,Y
2857,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,500000,120000,East,Maryland,Perry Hall,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,N
5179,Mercedes-Benz New C-Class 200 K AT,2007,500000,120000,East,Pennsylvania,Allentown,Petrol,Individual,Automatic,First Owner,11.7 kmpl,1796 CC,178 bhp,"24.5@ 3,500-4,500(kgm@ rpm)",5,N
78,Maruti Ertiga ZXI,2012,450000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,Y
326,Maruti Swift Dzire VXi AT,2012,420000,120000,East,New York,New York City,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,Y
3134,Maruti Swift Dzire VXI,2014,400000,120000,East,Vermont,South Burlington,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
4687,Honda CR-V 2.4L 4WD MT,2008,400000,120000,Central,Illinois,Lake In The Hills,Petrol,Individual,Manual,First Owner,11.1 kmpl,2354 CC,158.8 bhp,218Nm@ 4200rpm,5,N
6643,Maruti Eeco 5 Seater AC BSIV,2017,400000,120000,South,Alabama,Florence,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,N
5719,Maruti Swift Dzire VXI,2013,385000,120000,Central,Michigan,Detroit,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,N
5807,Volkswagen Polo 1.2 MPI Comfortline,2016,375000,120000,South,Florida,Land O Lakes,Petrol,Individual,Manual,Second Owner,16.2 kmpl,1199 CC,74 bhp,110Nm@ 3000-4300rpm,5,N
6648,Maruti Eeco 5 Seater AC BSIV,2016,375000,120000,South,Alabama,Florence,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,N
6391,Hyundai i20 Asta 1.2,2013,370000,120000,South,Tennessee,Knoxville,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,N
2773,Ford Classic 1.6 Duratec Titanium,2013,350000,120000,West,Utah,West Jordan,Petrol,Individual,Manual,First Owner,14.09 kmpl,1596 CC,99.6 bhp,146Nm@ 3400rpm,5,N
4542,Honda City 1.5 S Inspire,2010,350000,120000,Central,South Dakota,Brookings,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5,N
7060,Hyundai i20 Magna,2013,345000,120000,Central,Texas,Cedar Park,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,N
5059,Hyundai EON 1.0 Era Plus,2018,340000,120000,South,South Carolina,Greenville,Petrol,Individual,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,94.14Nm@ 3500rpm,5,N
5705,Maruti Wagon R VXI BS IV,2015,335000,120000,East,New York,Port Chester,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,N
7515,Honda CR-V 2.4 4WD AT,2004,325000,120000,Central,Michigan,Adrian,Petrol,Individual,Automatic,Third Owner,10.1 kmpl,2354 CC,152 bhp,215Nm@ 3600rpm,5,N
6305,Maruti Eeco 5 Seater AC BSIV,2015,315000,120000,West,Colorado,Fort Collins,Petrol,Individual,Manual,Second Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,N
1428,Toyota Etios VX,2011,300000,120000,South,Florida,Hollywood,Petrol,Individual,Manual,Third Owner,17.6 kmpl,1496 CC,88.7 bhp,132Nm@ 3000rpm,5,Y
1757,Hyundai i20 Sportz 1.2,2012,300000,120000,Central,Indiana,Anderson,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,Y
5150,Hyundai i20 Sportz 1.2,2012,300000,120000,East,Connecticut,Colchester,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,N
5797,Volkswagen Passat 1.8 TSI MT,2010,300000,120000,Central,Illinois,Aurora,Petrol,Individual,Manual,Second Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,N
6754,Honda Amaze EX i-Vtech,2013,300000,120000,Central,Kansas,Wichita,Petrol,Individual,Manual,Second Owner,18.0 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,N
6524,Honda City V MT,2009,290000,120000,Central,Wisconsin,Green Bay,Petrol,Individual,Manual,Second Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,N
409,Maruti Eeco Smiles 5 Seater AC,2013,260000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second Owner,15.1 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5,Y
5475,Hyundai Verna Xi (Petrol),2008,260000,120000,West,Utah,Clearfield,Petrol,Individual,Manual,Second Owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,N
5741,Maruti Alto K10 VXI,2016,260000,120000,Central,Texas,Hurst,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,N
1884,Honda City 2017-2020 GXi,2008,250000,120000,Central,Indiana,Marion,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,Y
2326,Maruti Celerio X ZXI,2020,250000,120000,Central,Missouri,Ferguson,Petrol,Individual,Manual,Second Owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,N
3718,Toyota Camry V4 (MT),2004,250000,120000,West,California,Laguna Niguel,Petrol,Individual,Manual,Second Owner,13.4 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5,N
2338,Maruti Swift Dzire VXi,2009,240000,120000,Central,Texas,Deer Park,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5,N
1022,Honda City 1.5 E MT,2008,229999,120000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5,Y
2308,Ford Figo Petrol Titanium,2010,229999,120000,Central,Illinois,Arlington Heights,Petrol,Individual,Manual,Third Owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5,N
1232,Hyundai EON Magna Plus,2015,225000,120000,East,Pennsylvania,Greensburg,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,Y
29,Maruti Wagon R LXI Minor,2009,220000,120000,South,Georgia,Atlanta,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,Y
3714,Hyundai i10 Asta Sunroof AT,2008,220000,120000,West,California,Lakewood,Petrol,Individual,Automatic,Second Owner,19.2 kmpl,1197 CC,80 bhp,"11.4@ 4,000(kgm@ rpm)",5,N
2261,Tata Indigo eCS GLS,2013,210000,120000,East,Massachusetts,Concord,Petrol,Individual,Manual,First Owner,15.64 kmpl,1193 CC,64.1 bhp,100Nm@ 2700rpm,5,N
5474,Honda City 2017-2020 GXi,2007,210000,120000,West,Utah,Clearfield,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,N
6737,Maruti Alto 800 LXI,2014,206000,120000,East,New Jersey,Garfield,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,N
2248,Maruti Ritz VXi,2009,200000,120000,Central,Michigan,Holland,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5,N
2258,Hyundai i20 Magna,2010,200000,120000,South,Kentucky,Murray,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,N
4877,Skoda Fabia 1.2 MPI Ambition,2011,200000,120000,West,California,Anaheim,Petrol,Individual,Manual,Second Owner,16.25 kmpl,1198 CC,73.9 bhp,110Nm@ 3750rpm,5,N
